Bulan,Aceh,Bali,Banten,Bengkulu,Yogyakarta,Jakarta,Gorontalo,Jambi,Jawa Barat,Jawa Tengah,Jawa Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Kepulauan Bangka Belitung,Kepulauan Riau,Lampung,Maluku,Maluku Utara,Nusa Tenggara Barat,Nusa Tenggara Timur,Papua,Papua Barat,Riau,Sulawesi Barat,Sulawesi Selatan,Sulawesi Tengah,Sulawesi Tenggara,Sulawesi Utara,Sumatera Barat,Sumatera Selatan,Sumatera Utara,INDONESIA
Jun-22,31037.777777777777,37723.333333333336,38376.66666666666,34750.0,36571.11111111111,38463.333333333336,37255.55555555556,32752.222222222223,37502.22222222222,35504.444444444445,34070.0,43303.333333333336,34521.11111111111,43316.66666666666,43218.88888888889,45960.0,41003.333333333336,42983.333333333336,34938.88888888889,46297.77777777778,45432.22222222222,43525.55555555556,43973.333333333336,42496.66666666666,49196.66666666666,30418.88888888889,33826.666666666664,32556.666666666668,38070.0,36252.22222222222,40881.11111111111,30727.777777777777,34300.0,34512.22222222222,38403.52941176471
Jul-22,29888.88888888889,41837.05882352941,37499.444444444445,35906.666666666664,36670.55555555556,40015.0,29643.529411764703,32677.777777777777,37498.333333333336,36876.66666666666,38274.444444444445,42820.0,32227.222222222223,41345.55555555556,40907.77777777778,46997.77777777778,37725.0,40774.444444444445,34853.88888888889,46401.66666666666,46645.55555555556,44862.22222222222,44444.444444444445,42005.0,46918.88888888889,29887.222222222223,33120.555555555555,29623.88888888889,35393.333333333336,36002.22222222222,39660.0,29887.647058823528,32714.444444444445,31476.470588235294,37749.51749327182
Aug-22,29221.33333333333,39171.6129032258,36470.645161290326,33205.8064516129,33804.83870967742,37829.35483870968,28503.548387096773,30523.870967741936,35997.74193548387,34810.645161290326,33548.666666666664,40419.35483870968,31570.0,40646.12903225807,38568.06451612903,44065.8064516129,35093.22580645161,40157.41935483871,33335.8064516129,46556.12903225807,46921.6129032258,43254.51612903226,44152.58064516129,41235.333333333336,46929.03225806452,28335.666666666668,30613.548387096773,26844.1935483871,33841.6129032258,34382.333333333336,37715.16129032258,28597.09677419355,30386.774193548383,31362.33333333333,36119.75869702719
Sep-22,28942.33333333333,37902.333333333336,35187.0,32700.666666666668,32710.33333333333,37338.66666666666,24425.666666666668,30431.0,35102.666666666664,33786.333333333336,32889.0,43532.333333333336,33149.0,41924.333333333336,41783.333333333336,45094.0,35106.0,40103.333333333336,33431.333333333336,45980.0,47051.0,43216.0,44779.0,41813.66666666666,46913.66666666666,28241.0,30093.0,26415.666666666668,33568.333333333336,33887.0,34133.666666666664,29224.666666666668,30120.0,31138.0,35944.53921568628
Oct-22,28799.67741935484,36665.8064516129,34459.67741935484,30708.70967741936,30761.612903225807,35600.0,24947.09677419355,29036.451612903227,33240.0,32104.516129032258,30424.1935483871,43357.41935483871,34273.22580645161,42991.6129032258,42774.51612903226,43135.16129032258,33855.8064516129,39848.06451612903,31293.548387096773,46090.967741935485,47010.32258064516,42651.29032258064,44321.93548387097,41788.70967741936,46615.48387096774,26625.16129032258,29399.67741935484,25217.74193548387,34005.48387096774,32661.93548387097,33583.54838709677,28814.516129032258,28528.70967741936,29662.90322580645,35154.573055028464
Nov-22,28870.666666666668,36821.333333333336,34720.0,31579.0,31392.0,35478.333333333336,29679.0,29387.33333333333,33560.0,32526.666666666668,31465.33333333333,40776.66666666666,33001.666666666664,42403.333333333336,42293.0,44576.333333333336,32872.666666666664,40305.0,31455.0,46618.66666666666,46588.66666666666,42058.0,44744.333333333336,41656.333333333336,46454.66666666666,28703.33333333333,29177.666666666668,26580.0,34560.333333333336,33422.666666666664,36169.0,29196.0,28594.666666666668,31267.33333333333,35557.5
Dec-22,31160.64516129032,37481.93548387097,35417.74193548387,36585.8064516129,33278.3870967742,36242.25806451613,31711.290322580644,33801.6129032258,34843.87096774193,33455.48387096774,32620.0,41829.03225806452,33445.8064516129,43095.48387096774,43269.03225806452,48175.48387096774,36011.290322580644,41106.45161290323,33003.54838709677,47327.74193548387,46168.06451612903,43614.1935483871,44384.1935483871,41075.8064516129,46627.41935483871,32085.483870967742,30090.322580645163,26742.25806451613,35588.70967741936,33946.45161290323,37086.12903225807,30846.774193548383,31770.64516129032,33923.22580645161,36994.48766603417
Jan-23,31810.322580645163,38282.90322580645,35430.32258064516,34735.48387096774,31712.25806451613,36374.333333333336,29931.290322580644,33329.67741935484,34043.22580645161,32958.06451612903,31441.93548387097,43155.48387096774,34585.8064516129,42107.096774193546,43363.54838709677,48490.0,38080.0,41174.1935483871,32145.483870967742,46457.74193548387,45459.03225806452,42564.1935483871,45123.87096774193,41895.48387096774,46714.1935483871,31755.483870967742,30272.33333333333,27048.387096774197,35199.354838709674,34506.77419354839,35360.32258064516,31309.032258064515,30298.70967741936,33403.22580645161,36779.98734977863
Feb-23,29861.42857142857,35956.78571428572,35420.0,30826.071428571428,30846.071428571428,36668.57142857143,27319.64285714286,30119.285714285717,33497.5,32380.714285714286,30934.64285714286,41213.92857142857,34491.42857142857,41062.5,42457.857142857145,47137.142857142855,33848.92857142857,39040.0,31302.5,46387.857142857145,45523.21428571428,40345.0,44918.21428571428,41261.07142857143,46873.92857142857,28447.5,29313.571428571428,25699.285714285717,33866.07142857143,33083.21428571428,34294.642857142855,28372.14285714286,27917.14285714286,30976.42857142857,35343.067226890766
Mar-23,29581.93548387097,36545.48387096774,35555.16129032258,32596.451612903227,31794.1935483871,36709.35483870968,28531.290322580644,31236.774193548383,34226.45161290323,32771.6129032258,31749.032258064515,40769.67741935484,33210.0,40835.16129032258,41537.41935483871,45787.096774193546,34886.45161290323,40126.77419354839,32101.612903225807,46930.645161290326,45758.3870967742,39813.87096774193,43137.41935483871,40103.54838709677,47185.48387096774,29964.1935483871,29938.064516129038,25808.064516129038,33597.41935483871,33086.12903225807,33956.77419354839,28664.1935483871,29845.483870967742,30926.451612903227,35566.70777988616
