Kelompok Barang,1999,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
- Daging,2.29,2.86,2.9,2.85,2.44,1.85,1.95,1.84,1.89,2.1,2.02,2.16,1.8399999999999999,1.93,2.1500000000000004,3.625,3.506074927589959,2.5280980754336184,2.211726099047829,2.1572080216010665,2.335857337441321,2.6573762229661,2.456083222247067
